# address	status	binary	raw-score	source-debt	origin	uncertainty	revisit-trigger	tested-scores	before-score	after-score	eliminated-source-defect	audit-state	freeze-scope
0x00409130	provisional	partial	80.44	clean	deep-audit-2026-07-29	D3DApp::EnumDevices: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	80.44	-	-	-	audited	-
0x004092F0	provisional	partial	50.00	clean	deep-audit-2026-07-29	D3DApp::EnumDisplayModes: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	50.00	-	-	-	audited	-
0x00409360	provisional	partial	88.24	clean	deep-audit-2026-07-29	D3DApp::ProfileWndProc: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	88.24	-	-	-	audited	-
0x004093A0	provisional	partial	48.65	clean	deep-audit-2026-07-29	D3DApp::BuildProfileMachine: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	48.65	-	-	-	audited	sub-50
0x0040B2C0	provisional	partial	92.58	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0040B670	provisional	partial	89.52	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0040B7E0	provisional	partial	70.97	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0040B9D0	provisional	partial	76.19	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0040C1F0	provisional	partial	83.08	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0040D230	provisional	partial	97.73	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0040F740	provisional	partial	92.15	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0040FAE0	provisional	partial	73.89	clean	deep-audit-2026-07-29	Nu3D::Particles::SpawnInstance: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	73.89	-	-	-	audited	-
0x0040FDF0	provisional	partial	76.92	clean	deep-audit-2026-07-29	Nu3D::Particles::SpawnFromPreset: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	76.92	-	-	-	audited	-
0x004100F0	provisional	partial	87.27	clean	manual-audit	Toy2::Buzz::CheckParticleCollisions: the typed radius test, sprite-sheet dispatch, pickup and footing effects, projectile reflection, and deferred damage agree; remaining differences are switch-label placement and local register selection	revisit when a related particle collision handler or original source evidence fixes the declaration and switch-case order	39.36,40.95,56.50,57.58,59.44,60.04,84.49,87.27	0.00	87.27	empty body and decompiler-inferred particle field roles	audited	-
0x00410410	provisional	partial	61.40	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x00410540	provisional	partial	92.55	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x004106C0	provisional	partial	87.60	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x00412B50	provisional	partial	84.87	clean	deep-audit-2026-07-29	Toy2::RunModeSelect: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	84.87	-	-	-	audited	-
0x00412D70	provisional	partial	67.46	signature-name-drift	deep-audit-2026-07-29	Toy2::ShowModeSelect: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	67.46	-	-	-	audited	-
0x00412FF0	provisional	partial	88.89	clean	deep-audit-2026-07-29	AudioManager::Stream::Init: sequence-entry layout and per-frame update ordering remain unresolved after caller and global-state review	revisit when there is a reconstructed sequence producer or consumer that fixes entry roles and update order	88.89	-	-	-	audited	-
0x00414110	provisional	partial	77.31	clean	deep-audit-2026-07-29	Toy2::Buzz::Respawn: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	77.31	-	-	-	audited	-
0x00414550	provisional	partial	71.75	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x00414720	provisional	partial	90.25	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x00414A80	provisional	partial	88.24	clean	deep-audit-2026-07-29	Toy2::Actor::GetCreatureList: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	88.24	-	-	-	audited	-
0x00414AF0	provisional	partial	49.61	clean	deep-audit-2026-07-29	InputManager::UpdateInputState: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	49.61	-	-	-	audited	sub-50
0x00414EA0	provisional	partial	52.94	clean	deep-audit-2026-07-29	InputManager::EnumDevices: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	52.94	-	-	-	audited	-
0x00414F20	provisional	partial	93.69	clean	deep-audit-2026-07-29	SaveManager::Init: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	93.69	-	-	-	audited	-
0x004152E0	provisional	partial	95.97	clean	deep-audit-2026-07-29	InputManager::Init: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	95.97	-	-	-	audited	-
0x00415460	provisional	partial	97.06	clean	deep-audit-2026-07-29	InputManager::Cleanup: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	97.06	-	-	-	audited	-
0x004157E0	provisional	partial	42.86	clean	manual-audit	callers pass an input-code index and consume the byte result; retail preserves the prior state in BL while VC6 folds the same edge test before the state store	revisit if original type evidence explains the byte-local register homes	42.86,30.00	-	-	-	audited	sub-50
0x00415800	provisional	partial	55.17	clean	deep-audit-2026-07-29	InputManager::FindKeyPressed: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	55.17	-	-	-	audited	-
0x00416AB0	provisional	partial	86.97	clean	manual-audit	The ABI, typed actor and creature fields, state transitions, movement scripts, effect burst, oriented-bound test, token and pulse gates, dialogue, camera target, HUD update, sound update, constants, calls, and side-effect order agree. Retail evaluates the oriented-bound inputs in a different order. The animation-2 movement reset also loads the movement pointer before it clears the timer.	Revisit if a related creature function identifies an original oriented-bound helper or its local declaration order.	82.89,74.45,84.14,81.95,84.95,86.97	-	-	-	audited	-
0x00416F30	provisional	partial	65.98	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x00418610	provisional	partial	94.80	clean	manual-audit	The ABI, typed actor fields, pulse field, random-byte consumption, calls, control flow, and side-effect order agree. Retail copies the random cursor from ECX to EDX and uses ADD -0x80; the build keeps the cursor in ECX and uses SUB 0x80.	Revisit if source evidence identifies a different random-cursor declaration or evaluation order.	94.80,83.43,94.80	-	-	-	audited	-
0x00418720	provisional	partial	65.98	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x004189C0	provisional	partial	90.13	clean	manual-audit	The ABI, typed actor fields, encounter gate, tint pulse, movement targets, sound calls, random-byte consumption, height clamps, constants, and side-effect order agree. Retail schedules the tint toggle before its prologue stores, retains the arena-height condition in EAX without SETG, and assigns different registers to the Cartesian angle inputs.	Revisit if an exact flying-creature sibling identifies the original arena-height condition or Cartesian input form.	71.62,78.61,90.13	-	-	-	audited	-
0x00418CE0	provisional	partial	55.72	clean	manual-audit	The ABI, actor guard, pulse fields, particle calls, random-byte consumption, arguments, and field stores agree. Retail spills the two fixed emission coordinates and uses EBX and EBP for loop temporaries; the build keeps the coordinates in EBX and EBP and uses volatile loop temporaries.	Revisit if source evidence identifies a coordinate aggregate or declaration order that reproduces the retail register homes.	55.72,46.23,54.73,44.55	-	-	-	audited	-
0x0041A8A0	provisional	partial	92.00	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0041B780	provisional	partial	93.21	clean	manual-audit	The ABI, typed actor fields, sound calls, camera-distance gates, encounter and tint state, defense selection, arena scans and edge snaps, unsigned height clamp, pulse gates, random-byte consumption, projectile arithmetic, particle fields, constants, and HUD update agree. Retail keeps the arena-table cursor in EAX from the first comparison and uses EAX for the first Buzz coordinate. The build hoists each first threshold into a scratch register and uses EBP for that coordinate.	Revisit if a related arena boss identifies the original table-scan expression or projectile-coordinate declaration order.	91.00,91.31,93.21	-	-	-	audited	-
0x0041BC20	provisional	partial	93.33	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0041BEE0	provisional	partial	81.58	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0041C190	provisional	partial	89.16	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0041E020	provisional	partial	89.08	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0041E150	provisional	partial	82.00	clean	manual-audit-2026-07-30	The ABI, parameter roles, path bounds, interpolation, origin reset, direction scaling, path advance, normalization, velocity, link updates, and side-effect order agree. Retail reserves 16 bytes for each 12-byte Vector3I local. The build packs the three locals into 36 bytes.	Revisit if original compiler or type evidence explains the 16-byte local slots.	82.00	0.00	82.00	missing moving-wood update body	audited	-
0x0041E390	provisional	partial	99.45	clean	manual-audit-2026-07-30	The ABI, typed tables, state resets, moving-platform setup, falling-wood vectors, bridge state, link calls, environment setup, constants, and side-effect order agree. Retail reserves a 16-byte frame for the 12-byte Vector3I local. The build reserves 12 bytes.	Revisit if original type evidence identifies a fourth stack local.	99.45	0.00	99.45	stub body and untyped level state	audited	-
0x00420AF0	provisional	partial	71.86	clean	manual-audit	The ABI, typed actor fields, encounter states, phase and tint timers, random-byte consumption, particle, light, and sound calls, collision offset, pulse gate, HUD updates, constants, and side-effect order agree. Retail assigns the zero value and particle coordinates to different saved registers and schedules some vector initialization earlier.	Revisit if a related boss behavior identifies the original particle-vector declaration order or saved-register homes.	65.78,69.20,71.48,71.86	-	-	-	audited	-
0x00421090	provisional	partial	98.81	clean	manual-audit-2026-07-30	The ABI, typed tables, state resets, flag update, platform setup, motion cursors, link positions, and clear-color stores agree. Retail reserves a 16-byte frame for the 12-byte Vector3I local. The build reserves 12 bytes.	Revisit if an exact level initializer or original type evidence identifies a fourth stack local.	97.33,98.21,98.81	0.00	98.81	stub body and untyped token, moveable-object, and platform-motion state	audited	-
0x00422660	provisional	partial	74.82	clean	manual-audit	The ABI, typed actor fields, encounter states, timers, sector gates, sound calls, and HUD updates agree. The camera target, damage test, movement script, collision offset, particle fields, random-byte use, constants, and side-effect order also agree. Retail uses a larger stack frame and different saved registers for vector initialization and particle arithmetic.	Revisit if a related vehicle behavior identifies the original vector declaration order or particle arithmetic form.	70.91,74.82	-	-	-	audited	-
0x00423020	provisional	partial	91.67	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x00425700	provisional	partial	84.24	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x00425A80	provisional	partial	63.64	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x00425B60	provisional	partial	99.01	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x00425EB0	provisional	partial	58.00	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x00428890	provisional	partial	92.52	clean	manual-audit-2026-07-30	The ABI, link calls, mask transitions, ObjectGroup fields, train-path transition stores, branch graph, and side-effect order agree. Retail anchors the removal-loop cursor at the ObjectGroup base. The build anchors it at alternateLinkId and omits trailing alignment NOPs.	Revisit if a related object-group loop identifies a natural declaration form that reproduces the retail cursor anchor.	92.52	-	-	-	audited	-
0x00428E70	provisional	partial	90.91	clean	manual-audit-2026-07-30	The ABI, calls, waypoint reads, transition graph, movement, rotation, particle and sound updates, collision latch, and side-effect order agree. Retail reserves 32 stack bytes and spaces the two Vector3I locals by 16 bytes. The build reserves 24 bytes and packs them 12 bytes apart. VC6 also schedules the particle arguments through different registers. Some transition operands use different data-symbol labels without changing their instructions.	Revisit if confirmed vector alignment evidence explains the four-byte local gap or a related particle spawn identifies the original temporary declaration order.	66.24,74.92,78.91,86.76,88.04,90.91	-	-	-	audited	-
0x004292C0	provisional	partial	95.40	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x004293D0	provisional	partial	96.88	clean	manual-audit-2026-07-30	The ABI, selector-bit order, source link IDs, phase update, thresholds, calls, position conversion, scale changes, mask updates, early return, and side-effect order agree. Retail reserves one extra unused four-byte FPO stack slot. Every body instruction agrees. The retail function also assumes that one source-link selector bit is active.	Revisit if a related helper identifies a natural local declaration that requires the extra frame slot or proves the source-link selector invariant at every call site.	96.88	-	-	-	audited	-
0x004295B0	provisional	partial	87.97	clean	manual-audit-2026-07-30	Six call sites confirm the four-argument ABI and the cannon, companion, sector, and target-mask roles. The sector and radius gates, damage flags, completion smoke, aim normalization, yaw smoothing, link rotations, projectile call, and side-effect order agree. Retail reserves 32 stack bytes and separates the two Vector3I locals with extra slots. The build reserves 24 bytes and packs the locals. The remaining differences are stack offsets.	Revisit if confirmed vector alignment or local-lifetime evidence identifies the original local declaration shape.	67.31,72.26,75.08,79.61,80.26,87.97	-	-	-	audited	-
0x00429800	provisional	partial	90.48	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x00429910	provisional	partial	66.83	clean	manual-audit-2026-07-30	The caller confirms the no-argument ABI. The six descriptor records, timer and link walks, distance gates, flash transitions, platform trigger, origin update, cutscene offsets, ambient-emitter update, all 15 calls, and side-effect order agree. Retail keeps the descriptor, target-link, and timer walks in three registers and reserves 16 stack bytes. The build merges the descriptor and timer walks into one index and reserves 12 stack bytes.	Revisit if an exact parallel-array sibling identifies the original pointer declaration or aliasing form, or if vector-local evidence explains the extra frame slot.	66.83,66.83,66.83	-	-	-	audited	-
0x00429FB0	provisional	partial	91.11	clean	manual-audit-2026-07-30	The ABI, calls, branch graph, global accesses, thresholds, fixed-point division, clamps, particle spawn, link update, and platform velocity agree. Retail reserves 32 stack bytes and places the second Vector3I at offset 16. The build reserves 24 bytes and places it at offset 12.	Revisit if confirmed vector type or alignment evidence explains the four-byte gap between the local vectors.	81.65,91.11	-	-	-	audited	-
0x0042B090	provisional	partial	82.03	clean	CAP-03	arena particle bounce: retail keeps the floor value in EBX and the shadow count in CX. The build uses volatile registers and spills the typed shadow index. Control flow, field access, calls, and side effects agree. Three natural forms were tested.	revisit if new caller, type, or source-form evidence explains the recorded CAP-03 mismatch	82.03	-	-	-	audited	former-cap
0x0042BE60	provisional	partial	93.37	clean	manual-audit-2026-07-30	The ABI, calls, corrected prospector state offsets, random sound selection, actor fields, movement offsets, flags, timers, fixed-point particle arguments, HUD calculation, and defeat path agree. VC6 places the tint block at the function tail, schedules two movement stores differently, and delays the boss-status timer store until after loading the actor phase.	Revisit if another level prospector implementation identifies a natural tint control-flow form or HUD temporary declaration that reproduces the remaining block and store placement.	93.37	-	-	-	audited	-
0x0042C200	provisional	partial	89.08	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0042C810	provisional	partial	61.54	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-
0x0042D3E0	provisional	partial	98.08	clean	manual-audit-2026-07-30	The calls, stack frame, branch graph, field accesses, HUD arithmetic, movement offsets, flags, timers, and side-effect order agree. VC6 emits one different tint-branch displacement and schedules two movement stores differently.	Revisit if a natural tint control-flow form or declaration order explains the remaining branch displacement and scheduling.	97.44,98.08	-	-	-	audited	-
0x0042E600	provisional	partial	93.27	clean	header-boundary-audit-2026-07-29	The two PosAndAngles locals reproduce the retail stack frame. Calls, global stores, the actor loop, and the pickup scan agree. VC6 schedules three coordinate averages differently.	Revisit when a related initializer confirms the original declaration order for the two position records.	89.42,84.62,85.58,91.35	89.42	85.58	The public d3dapp.h header exposed D3DAppI helpers, an internal callback, and the internal dpf diagnostic.	audited	-
0x0042F310	provisional	partial	97.18	clean	manual-audit-2026-07-30	The calls, branch graph, field accesses, movement data offsets, flags, timers, and side-effect order agree. VC6 only schedules the tint store and two movement-field stores at different points.	Revisit if a natural declaration order or a related Smith function explains the remaining instruction scheduling.	97.18	-	-	-	audited	-
0x0042F530	provisional	partial	89.91	clean	manual-audit-2026-07-30	The stack frame, calls, branch graph, field accesses, bone attachments, particle parameters, movement offset, flags, timers, and side-effect order agree. VC6 assigns the projectile trigger and aim temporaries to different registers, and the retail function retains one trailing NOP.	Revisit if the reconstructed GunsLLevel11 sibling identifies a natural declaration or expression form that reproduces the projectile-block register allocation.	89.91	-	-	-	audited	-
0x0042F7B0	provisional	partial	94.29	clean	manual-audit-2026-07-30	The ABI, calls, branch conditions, random sound selection, actor fields, movement offsets, flags, timers, particle arguments, and side-effect order agree. VC6 places the tint block at the function tail and schedules two movement stores differently.	Revisit if the reconstructed ProsPLevel13 sibling identifies a natural tint control-flow form or declaration order that reproduces the remaining block placement and store scheduling.	94.29	-	-	-	audited	-
0x004316C0	provisional	partial	86.05	clean	deep-audit-2026-07-29	_WinMain@16: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	86.05	-	-	-	audited	-
0x004319E0	provisional	partial	97.67	clean	deep-audit-2026-07-29	SoftwareRenderer::BuildPaletteLightingTable: render-command, vertex, or matrix evaluation structure remains unresolved after caller, callee, and data-access review	revisit when there is an exact sibling or confirmed layout that fixes the command fields and evaluation order	97.67	-	-	-	audited	-
0x00431CE0	provisional	partial	80.65	clean	deep-audit-2026-07-29	ModeSelect::SelectDeviceByIndex: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	80.65	-	-	-	audited	-
0x00431D40	provisional	partial	59.02	clean	deep-audit-2026-07-29	ModeSelect::FindFirstHardwareDevice: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	59.02	-	-	-	audited	-
0x00431DA0	provisional	partial	80.65	clean	deep-audit-2026-07-29	ModeSelect::SelectDisplayModeByIndex: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	80.65	-	-	-	audited	-
0x00431E00	provisional	partial	42.11	clean	deep-audit-2026-07-29	ModeSelect::SelectSuitableDisplayMode: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	42.11	-	-	-	audited	sub-50
0x00432020	provisional	partial	66.08	unstructured-control-flow	deep-audit-2026-07-29	ModeSelect::Run: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	66.08	-	-	-	audited	-
0x00432AD0	provisional	partial	3.82	clean	deep-audit-2026-07-29	ModeSelect::WndProc: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	3.82	-	-	-	audited	sub-50
0x00433410	provisional	partial	73.68	clean	deep-audit-2026-07-29	ModeSelect::ApplyTextStyle: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	73.68	-	-	-	audited	-
0x004334D0	provisional	partial	33.54	clean	deep-audit-2026-07-29	Toy2::MoveableObject::ComputeSegment: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	33.54	-	-	-	audited	sub-50
0x004335D0	provisional	partial	54.14	clean	deep-audit-2026-07-29	Toy2::MoveableObject::InitTable: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	54.14	-	-	-	audited	-
